id;identifiant;type;centre_de_formation;web_site_link;adresse
1;27070;Tasty intuitive Multi-layered;open-source Luxembourg;b b calculating;la open-source
2;92441;b Analyste;Credit repurpose multimedia;c value-added;Administrateur interactive
3;6449;matrix Advanced a;Dinar Home;parse Books Rubber;Sausages interface
4;45420;Chicken;real-time Account invoice;SMTP Pérou channels;violet dot-com
5;83758;a Account;port;port;facilitate
6;35880;Versatile a;Avon calculate;magenta Fundamental bandwidth;scale Gorgeous
7;58186;metrics Unbranded Architecte;Bedfordshire Buckinghamshire;Languedoc-Roussillon sensor Soudan;Silver Aquitaine
8;63443;static port;compressing;azure;Belize deploy Refined
9;21286;withdrawal;b GB d'Azur;Convertible Rustic Tuna;green
10;25530;GB Rupiah navigate;Bacon invoice discrete;Sénégal navigate;Licensed
